Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
2017-01-01,1.3801798971824422,25.5,1.661270289924827,2534003.0
2017-02-01,1.2649021788013144,25.5,1.4935050470629025,2537129.0
2017-03-01,1.4316161172795645,25.5,1.698464899355421,2540255.0
2017-04-01,1.270655084708111,25.5,1.5096111322704018,2543381.0
2017-05-01,1.4662869569963877,25.5,1.6195080279276552,2546507.0
2017-06-01,1.5464774734246065,25.5,1.768502769230493,2549633.0
2017-07-01,1.5760594713406162,25.5,1.5403629994562293,2552759.0
2017-08-01,1.571353953718575,25.5,1.6516514602630312,2555885.0
2017-09-01,1.4010608004420457,25.5,1.4258122552346004,2559011.0
2017-10-01,1.344408983594554,25.5,1.3789896427838235,2562137.0
2017-11-01,1.3977514196400136,25.5,1.4012161982087046,2565263.0
2017-12-01,1.367000870973984,25.5,1.4294864174423059,2568389.0
