ConsumerUnit,Time (month),Consumption (KWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,2017-01-01,3497380.0,25.5,4209663.898480382,2534003.0
1,2017-02-01,3209220.0,25.5,3789214.966549655,2537129.0
1,2017-03-01,3636670.0,25.5,4314533.952912105,2540255.0
1,2017-04-01,3231760.0,25.5,3839516.2712050267,2543381.0
1,2017-05-01,3733910.0,25.5,4124088.5296739694,2546507.0
1,2017-06-01,3942949.9999999995,25.5,4509033.02102145,2549633.0
1,2017-07-01,4023300.0,25.5,3932175.5101288846,2552759.0
1,2017-08-01,4016200.0,25.5,4221431.192514378,2555885.0
1,2017-09-01,3585330.0,25.5,3648669.24508015,2559011.0
1,2017-10-01,3444560.0,25.5,3533160.3863932174,2562137.0
1,2017-11-01,3585600.0,25.5,3594488.0682654562,2565263.0
1,2017-12-01,3510990.0,25.5,3671477.1902082264,2568389.0
