Time (Year),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
2020,6075.440997129618,12.957133213678995,44.47973299026489,4.26092011884016,170844.0
2021,5944.667034274731,8.090956727663675,25.83376995722453,2.327380781473142,223989.0
2022,5320.3442091348925,5.731568018595378,19.895235459009807,0.8187472882382103,276785.0
2023,5280.783892192545,6.463673233985901,23.629244963328045,0.8468427666433731,329581.0
2024,5246.464687430365,5.863151550292969,17.021681865056355,0.41198475111559274,382377.0
2025,5221.093140507631,5.830740809440613,20.886668125788372,0.4439536028380028,435173.0
2026,5131.753892145748,6.668741941452026,22.017162958780926,0.4423738950485627,487851.0
2027,5081.316597483928,7.152552882830302,23.37767728169759,0.4599189984398422,540509.0
2028,5024.858937261705,7.683359066645305,24.62018124262492,0.4741801157180618,593167.0
2018,5858.719810969093,7.595300753911336,44.01436996459961,5.3841817707224395,56948.0
2019,5467.494527334928,10.275037129720053,37.9347817103068,4.939931361832765,113896.0
