Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
2017-01-01,1.3801798971824422,25.5,1.665934005848854,2534003.0
2017-02-01,1.2649021788013144,25.5,1.497697792405334,2537129.0
2017-03-01,1.4316161172795645,25.5,1.7032330324193572,2540255.0
2017-04-01,1.270655084708111,25.5,1.5138490925345178,2543381.0
2017-05-01,1.4662869569963877,25.5,1.624054503853182,2546507.0
2017-06-01,1.5464774734246065,25.5,1.7734675209488422,2549633.0
2017-07-01,1.5760594713406162,25.5,1.5446872900264719,2552759.0
2017-08-01,1.571353953718575,25.5,1.6562881730621988,2555885.0
2017-09-01,1.4010608004420457,25.5,1.4298149653051644,2559011.0
2017-10-01,1.344408983594554,25.5,1.3828609068370743,2562137.0
2017-11-01,1.3977514196400136,25.5,1.405149859296983,2565263.0
2017-12-01,1.367000870973984,25.5,1.4334994420588527,2568389.0
