Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1999,6.865840507151136,1.983751803636551,8.715863903332002,1913969.0
2013,6.426332282829866,5.301046550273895,8.060813159969053,2419078.0
2002,7.144125718843361,8.054460922876993,9.025476879376127,2009524.0
2014,6.14307642824432,9.622021913528442,7.820278606254428,2456232.0
2003,7.210035404753332,16.748711427052815,9.159595288715392,2041274.0
2015,6.008279222364379,7.527102589607239,7.592650384854618,2493503.0
2004,7.224830625826129,15.543842087189356,9.216571698072553,2073511.0
2016,5.877690577937169,10.163858413696289,7.60163293000016,2530887.0
2005,7.098569259787514,15.54526017109553,9.043140927651196,2121897.0
2017,5.668206006714754,43.34312240282694,6.967331681723657,2568389.0
2006,7.167913043584909,15.183671315511068,9.211259247543174,2160537.0
2018,5.734616198200566,70.56916173299153,6.566234080457619,2606011.0
2007,7.131008914666183,13.258619864781698,9.17937329407467,2197670.0
2008,7.080822773639424,11.715529600779215,9.131510850385682,2234567.0
2009,6.930057755090797,10.68902619679769,8.892704889493489,2271379.0
2010,6.852120293621882,10.200876156489054,8.747882135578353,2308205.0
2011,6.640860842997578,9.321647276480993,8.42142898192437,2345086.0
2000,7.202034125046574,4.4404192467530565,9.060223340229012,1946073.0
2012,6.546463460048318,7.948552320400874,8.276780442567715,2382031.0
2001,7.18691150632518,9.349540948867798,9.058099472738197,1977731.0
