Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1989,5.210041417493405,25.65199851989746,NaN,1612789.0
2013,6.426332282829866,50.0,NaN,2419078.0
2014,6.14307642824432,50.0,NaN,2456232.0
2015,6.008279222364379,50.0,NaN,2493503.0
2016,5.877690577937169,50.0,NaN,2530887.0
2017,5.668206006714754,92.5,NaN,2568389.0
2018,5.734616198200566,125.0,NaN,2606011.0
2000,7.202034125046574,50.0,NaN,1946073.0
2001,7.18691150632518,50.0,NaN,1977731.0
1990,5.337924127587657,23.83700180053711,NaN,1642964.0
1999,6.865840507151136,50.0,NaN,1913969.0
2002,7.144125718843361,50.0,NaN,2009524.0
1991,5.46166081774461,30.750999450683594,NaN,1672760.0
2003,7.210035404753332,50.0,NaN,2041274.0
1992,5.582628943456028,31.56300163269043,NaN,1701667.0
2004,7.224830625826129,50.0,NaN,2073511.0
1993,5.7011061179320945,31.992002487182617,NaN,1730441.0
2005,7.098569259787514,50.0,NaN,2121897.0
1994,5.814439233797713,32.94200134277344,NaN,1760059.0
2006,7.167913043584909,50.0,NaN,2160537.0
1995,5.921314267686884,33.93000030517578,NaN,1790511.0
2007,7.131008914666183,50.0,NaN,2197670.0
1996,6.023783616420056,28.39000129699707,NaN,1820812.0
2008,7.080822773639424,50.0,NaN,2234567.0
1997,6.123247685561663,27.715999603271484,NaN,1851354.0
2009,6.930057755090797,50.0,NaN,2271379.0
1998,6.218524150856068,26.20800018310547,NaN,1882431.0
2010,6.852120293621882,50.0,NaN,2308205.0
2011,6.640860842997578,50.0,NaN,2345086.0
2012,6.546463460048318,50.0,NaN,2382031.0
