Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1989,5.210041417493405,25.65199851989746,6.677618950628752,1612789.0
2013,6.426332282829866,50.0,9.196520924888462E9,2419078.0
2014,6.14307642824432,50.0,6.2968971322421665E9,2456232.0
2015,6.008279222364379,50.0,6.5546712449324E9,2493503.0
2016,5.877690577937169,50.0,5.983173991278484E9,2530887.0
2017,5.668206006714754,92.5,3.480313403500052E9,2568389.0
2018,5.734616198200566,125.0,2.0619795352873764E9,2606011.0
2000,7.202034125046574,50.0,4.0154824188012266E9,1946073.0
2001,7.18691150632518,50.0,4.459618177817816E9,1977731.0
1990,5.337924127587657,23.83700180053711,6.83917821448408,1642964.0
1999,6.865840507151136,50.0,3.410174727231351E9,1913969.0
2002,7.144125718843361,50.0,4.888246735014526E9,2009524.0
1991,5.46166081774461,30.750999450683594,6.997715065952809,1672760.0
2003,7.210035404753332,50.0,5.39996437302416E9,2041274.0
1992,5.582628943456028,31.56300163269043,7.149704529647177,1701667.0
2004,7.224830625826129,50.0,5.887637489359464E9,2073511.0
1993,5.7011061179320945,31.992002487182617,7.159730715276727,1730441.0
2005,7.098569259787514,50.0,6.25594410891521E9,2121897.0
1994,5.814439233797713,32.94200134277344,7.035229978463909,1760059.0
2006,7.167913043584909,50.0,6.800648522106204E9,2160537.0
1995,5.921314267686884,33.93000030517578,7.164544284591971,1790511.0
2007,7.131008914666183,50.0,7.255651020238441E9,2197670.0
1996,6.023783616420056,28.39000129699707,7.288528013660069,1820812.0
2008,7.080822773639424,50.0,7.696051944192555E9,2234567.0
1997,6.123247685561663,27.715999603271484,7.408875439784648,1851354.0
2009,6.930057755090797,50.0,8.014052297734757E9,2271379.0
1998,6.218524150856068,26.20800018310547,7.524156062458347,1882431.0
2010,6.852120293621882,50.0,8.39921695235103E9,2308205.0
2011,6.640860842997578,50.0,8.597331123574568E9,2345086.0
2012,6.546463460048318,50.0,8.922860076975391E9,2382031.0
