Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1999,6.865840507151136,10.00480341911316,9.028729937782442,1913969.0
2013,6.426332282829866,10.014196872711182,4.328694568504754,2419078.0
2002,7.144125718843361,10.007244745890299,4.998136316320728,2009524.0
2014,6.14307642824432,10.937455733617147,4.184303556761462,2456232.0
2003,7.210035404753332,10.015573183695475,5.032140258891698,2041274.0
2015,6.008279222364379,10.72370441754659,3.9203382685142967,2493503.0
2004,7.224830625826129,10.022653977076212,5.2824917643926455,2073511.0
2016,5.877690577937169,11.590267658233643,3.9501773713412875,2530887.0
2005,7.098569259787514,10.023762146631876,4.796855867803558,2121897.0
2017,5.668206006714754,12.376862128575643,3.6009892680176705,2568389.0
2006,7.167913043584909,10.021819829940796,4.755248417641543,2160537.0
2018,5.734616198200566,21.269636392593384,3.5472626844302413,2606011.0
2007,7.131008914666183,10.020146052042643,4.868455700248761,2197670.0
2008,7.080822773639424,10.018123308817545,5.045521857873901,2234567.0
2009,6.930057755090797,10.016465584437052,4.753974815811188,2271379.0
2010,6.852120293621882,10.015502134958902,4.897748370412893,2308205.0
2011,6.640860842997578,10.014342308044434,4.747866805059122,2345086.0
2000,7.202034125046574,10.002634207407633,9.477986798281592,1946073.0
2012,6.546463460048318,10.013904968897501,4.499265380914964,2382031.0
2001,7.18691150632518,10.00227944056193,7.275400144076597,1977731.0
