Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1999,6.865840507151136,47.684309005737305,8.804731508924581,1913969.0
2013,6.426332282829866,81.7906395594279,8.02785499904675,2419078.0
2002,7.144125718843361,110.07768599192302,9.005578412628433,2009524.0
2014,6.14307642824432,206.6480007171631,7.821117940528067,2456232.0
2003,7.210035404753332,155.13452593485513,9.089496600936963,2041274.0
2015,6.008279222364379,157.21254030863443,7.594245277699882,2493503.0
2004,7.224830625826129,151.96614170074463,9.106232407905322,2073511.0
2016,5.877690577937169,201.39258193969727,7.60163293000016,2530887.0
2005,7.098569259787514,157.03640619913736,8.929128538088305,2121897.0
2017,5.668206006714754,479.77936426798504,6.967331681723657,2568389.0
2006,7.167913043584909,159.78682072957358,9.009696173949287,2160537.0
2018,5.734616198200566,711.7490081787109,6.553308120144436,2606011.0
2007,7.131008914666183,149.6689542134603,8.94924818085265,2197670.0
2008,7.080822773639424,140.7556241353353,8.885241686103932,2234567.0
2009,6.930057755090797,134.6275494893392,8.698636399312253,2271379.0
2010,6.852120293621882,131.96812693277994,8.57262321748107,2308205.0
2011,6.640860842997578,124.13174120585124,8.307710880850587,2345086.0
2000,7.202034125046574,83.11865170796712,9.098210502526246,1946073.0
2012,6.546463460048318,110.02859052022298,8.189493591769756,2382031.0
2001,7.18691150632518,114.47505569458008,9.074188054635519,1977731.0
