Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1999,6.865840507151136,44.48393281300863,5.608772722250181,1913969.0
2013,6.426332282829866,53.82496929168701,8.091317408403828,2419078.0
2002,7.144125718843361,59.656116803487144,6.354632392836945,2009524.0
2014,6.14307642824432,52.30194600423177,8.069821157125808,2456232.0
2003,7.210035404753332,71.83124033610027,6.456738766461663,2041274.0
2015,6.008279222364379,50.664877573649086,8.122961515351447,2493503.0
2004,7.224830625826129,71.78420193990071,6.570757585335967,2073511.0
2016,5.877690577937169,48.36581611633301,8.165458792856077,2530887.0
2005,7.098569259787514,70.02413177490234,6.5932604750255965,2121897.0
2017,5.668206006714754,294.7116696039836,7.810806960085645,2568389.0
2006,7.167913043584909,66.83019510904948,6.762071510082263,2160537.0
2018,5.734616198200566,419.71091683705646,7.80095782795272,2606011.0
2007,7.131008914666183,62.457943280537926,6.8966463659473005,2197670.0
2008,7.080822773639424,59.012414614359535,7.0671276475071325,2234567.0
2009,6.930057755090797,56.84000937143961,7.231573125788264,2271379.0
2010,6.852120293621882,55.989450772603355,7.441023739260839,2308205.0
2011,6.640860842997578,55.881805419921875,7.623001222345611,2345086.0
2000,7.202034125046574,45.515937169392906,6.222624653969557,1946073.0
2012,6.546463460048318,55.10471884409586,7.955911882438824,2382031.0
2001,7.18691150632518,52.16168340047201,6.302688065249607,1977731.0
