Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1999,6.865840507151136,71.5390043258667,7.272436313302361,1913969.0
2013,6.426332282829866,72.71164162953694,4.375363442365421,2419078.0
2002,7.144125718843361,54.5611097017924,3.736291216983864,2009524.0
2014,6.14307642824432,73.49231306711833,4.066359511258139,2456232.0
2003,7.210035404753332,54.96160809199015,3.845389221195263,2041274.0
2015,6.008279222364379,69.58102862040202,3.7168964794547237,2493503.0
2004,7.224830625826129,62.13887119293213,4.024033514502611,2073511.0
2016,5.877690577937169,71.21920712788899,3.719070612414618,2530887.0
2005,7.098569259787514,61.22650480270386,3.8165759260421668,2121897.0
2017,5.668206006714754,81.91679191589355,3.0528724179140547,2568389.0
2006,7.167913043584909,63.46317927042643,3.794783259227874,2160537.0
2018,5.734616198200566,86.74454816182454,2.776828592567141,2606011.0
2007,7.131008914666183,64.0757573445638,3.9376671176978513,2197670.0
2008,7.080822773639424,64.12421019872029,4.166291712107677,2234567.0
2009,6.930057755090797,68.68569453557332,4.11948003838437,2271379.0
2010,6.852120293621882,71.1444206237793,4.377942779477525,2308205.0
2011,6.640860842997578,77.42967383066814,4.619902543519319,2345086.0
2000,7.202034125046574,70.63799158732097,8.201745663906564,1946073.0
2012,6.546463460048318,76.55224990844727,4.605949639499599,2382031.0
2001,7.18691150632518,61.14435354868571,6.031678698563497,1977731.0
