Time (Year),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
2013,20.102620893199546,27.25,23.008482553455668,2419078.0
2002,23.813751754497464,24.549001693725586,28.847990025272185,2009524.0
2014,19.125136408996916,31.244003295898438,23.036666135933427,2456232.0
2003,24.033457932556633,23.61600112915039,29.116858595673545,2041274.0
2015,18.374978738717775,17.53499984741211,21.81177593346795,2493503.0
2004,24.082776866990297,22.959999084472656,29.176607126931476,2073511.0
2016,17.763282461952127,27.45599937438965,20.416575112825786,2530887.0
2005,23.661895184986026,22.0570011138916,29.126653301730517,2121897.0
2017,17.017753208102217,25.5,18.578381139160395,2568389.0
2006,23.893040796184202,20.856000900268555,29.6313659480663,2160537.0
2007,23.769781816928287,20.124000549316406,29.609455304928876,2197670.0
2008,23.59390575783261,19.18800163269043,29.602427828246558,2234567.0
2009,22.757363980566755,21.17500114440918,28.15833722569655,2271379.0
2010,22.3390034029806,23.009998321533203,26.91245177369993,2308205.0
2011,21.537429149778724,25.308000564575195,26.33622437394466,2345086.0
2000,24.006785579740615,23.05500030517578,29.080450986492174,1946073.0
2012,21.012893133212316,26.4320011138916,25.06854494049977,2382031.0
2001,23.956365313148904,24.472000122070312,29.01205858236026,1977731.0
