ConsumerUnit,Time (month),Consumption (KWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,2017-01-01,3497380.0,25.5,4221481.768623014,2534003.0
1,2017-02-01,3209220.0,25.5,3799852.5023475527,2537129.0
1,2017-03-01,3636670.0,25.5,4326646.226768434,2540255.0
1,2017-04-01,3231760.0,25.5,3850295.0188195347,2543381.0
1,2017-05-01,3733910.0,25.5,4135666.1624436546,2546507.0
1,2017-06-01,3942949.9999999995,25.5,4521691.31583936,2549633.0
1,2017-07-01,4023300.0,25.5,3943214.3818006865,2552759.0
1,2017-08-01,4016200.0,25.5,4233282.097207078,2555885.0
1,2017-09-01,3585330.0,25.5,3658912.224180534,2559011.0
1,2017-10-01,3444560.0,25.5,3543079.095260821,2562137.0
1,2017-11-01,3585600.0,25.5,3604578.9435097566,2565263.0
1,2017-12-01,3510990.0,25.5,3681784.198490095,2568389.0
